datetime,ONEBUSD_open,ONEBUSD_high,ONEBUSD_low,ONEBUSD_close
2022-01-16 17:00:00,0.341,0.34621,0.34032,0.3449
2022-01-16 18:00:00,0.34502,0.352,0.34176,0.35096
2022-01-16 19:00:00,0.35065,0.35474,0.34712,0.34952
2022-01-16 20:00:00,0.34942,0.34942,0.34204,0.34363
2022-01-16 21:00:00,0.34382,0.34387,0.33529,0.34072
2022-01-16 22:00:00,0.34071,0.34264,0.33511,0.33511
2022-01-16 23:00:00,0.33511,0.3407,0.33149,0.33706
2022-01-17 00:00:00,0.33668,0.34487,0.33224,0.34468
2022-01-17 01:00:00,0.34479,0.34719,0.34222,0.3429
2022-01-17 02:00:00,0.34264,0.34873,0.34138,0.34138
2022-01-17 03:00:00,0.3415,0.34403,0.33891,0.34065
2022-01-17 04:00:00,0.34038,0.34455,0.339,0.34196
2022-01-17 05:00:00,0.34171,0.3421,0.33722,0.3406
2022-01-17 06:00:00,0.34061,0.3417,0.33619,0.33636
2022-01-17 07:00:00,0.33658,0.33892,0.33258,0.33477
2022-01-17 08:00:00,0.335,0.337,0.32858,0.32959
2022-01-17 09:00:00,0.32957,0.33238,0.3288,0.3298
2022-01-17 10:00:00,0.32978,0.33022,0.315,0.31761
2022-01-17 11:00:00,0.31763,0.32212,0.31571,0.31797
2022-01-17 12:00:00,0.31794,0.31923,0.31162,0.3168
2022-01-17 13:00:00,0.3168,0.31832,0.31141,0.31776
2022-01-17 14:00:00,0.31776,0.31918,0.31494,0.31763
2022-01-17 15:00:00,0.31769,0.32157,0.31489,0.31702
2022-01-17 16:00:00,0.31656,0.31742,0.30722,0.31108
2022-01-17 17:00:00,0.31084,0.3188,0.30627,0.3128
2022-01-17 18:00:00,0.31305,0.31852,0.31304,0.31673
2022-01-17 19:00:00,0.31679,0.32738,0.31534,0.3269
2022-01-17 20:00:00,0.32674,0.32877,0.32226,0.32798
2022-01-17 21:00:00,0.32755,0.3309,0.32443,0.32859
2022-01-17 22:00:00,0.32851,0.3319,0.32266,0.32613
2022-01-17 23:00:00,0.32613,0.33209,0.31931,0.32881
2022-01-18 00:00:00,0.32881,0.3305,0.32387,0.32525
2022-01-18 01:00:00,0.32532,0.33385,0.32532,0.33282
2022-01-18 02:00:00,0.333,0.33449,0.32842,0.32985
2022-01-18 03:00:00,0.32968,0.33117,0.31971,0.32296
2022-01-18 04:00:00,0.32326,0.33977,0.32203,0.33749
2022-01-18 05:00:00,0.33774,0.3389,0.32685,0.32827
2022-01-18 06:00:00,0.32853,0.32887,0.32152,0.32425
2022-01-18 07:00:00,0.32412,0.32737,0.31413,0.31831
2022-01-18 08:00:00,0.31835,0.3189,0.30836,0.3126
2022-01-18 09:00:00,0.3126,0.31381,0.30132,0.30334
2022-01-18 10:00:00,0.30357,0.31144,0.30182,0.30729
2022-01-18 11:00:00,0.30693,0.32081,0.30611,0.3164
