datetime,COMPUSD_open,COMPUSD_high,COMPUSD_low,COMPUSD_close
2022-03-09 14:00:00,109.78,110.61,109.76,110.1
2022-03-09 15:00:00,110.02,111.1,109.48,111.01
2022-03-09 16:00:00,111.03,112.08,110.46,111.54
2022-03-09 17:00:00,111.46,111.82,111.12,111.44
2022-03-09 18:00:00,111.42,111.46,109.43,109.8
2022-03-09 19:00:00,109.87,110.03,108.7,109.67
2022-03-09 20:00:00,109.69,109.97,108.75,108.88
2022-03-09 21:00:00,108.83,109.65,108.62,109.47
2022-03-09 22:00:00,109.39,109.97,109.14,109.65
2022-03-09 23:00:00,109.68,110.56,109.24,110.05
2022-03-10 00:00:00,110.09,110.64,109.64,109.64
2022-03-10 01:00:00,109.61,110.57,107.3,107.68
2022-03-10 02:00:00,107.52,108.32,107.15,107.52
2022-03-10 03:00:00,107.39,108.01,107.01,107.01
2022-03-10 04:00:00,107.0,107.09,103.65,103.73
2022-03-10 05:00:00,103.63,103.69,101.59,102.31
2022-03-10 06:00:00,102.55,103.37,101.92,102.95
2022-03-10 07:00:00,102.93,103.14,102.3,102.89
2022-03-10 08:00:00,102.84,102.92,101.23,102.12
2022-03-10 09:00:00,102.08,102.36,101.59,101.93
2022-03-10 10:00:00,101.79,102.34,101.67,101.67
2022-03-10 11:00:00,101.73,102.29,101.44,101.99
2022-03-10 12:00:00,101.93,102.59,101.67,102.33
2022-03-10 13:00:00,102.37,104.09,100.02,100.96
2022-03-10 14:00:00,101.03,102.25,100.63,102.25
2022-03-10 15:00:00,102.17,103.28,101.54,102.42
2022-03-10 16:00:00,102.32,102.88,101.42,101.86
2022-03-10 17:00:00,101.89,102.56,101.41,101.83
2022-03-10 18:00:00,101.88,102.56,101.38,102.52
2022-03-10 19:00:00,102.47,102.92,101.89,102.92
2022-03-10 20:00:00,102.89,103.74,102.61,103.72
2022-03-10 21:00:00,103.69,103.84,103.04,103.18
2022-03-10 22:00:00,103.21,104.06,102.63,104.06
2022-03-10 23:00:00,103.84,104.11,103.01,103.21
2022-03-11 00:00:00,103.15,103.38,101.91,102.14
2022-03-11 01:00:00,102.23,102.23,100.87,101.23
2022-03-11 02:00:00,101.1,101.57,100.11,100.32
2022-03-11 03:00:00,100.29,101.68,100.29,101.51
2022-03-11 04:00:00,101.51,101.66,100.17,100.39
2022-03-11 05:00:00,100.43,101.77,100.25,101.69
2022-03-11 06:00:00,101.74,102.6,101.51,102.54
2022-03-11 07:00:00,102.63,103.08,102.43,102.47
2022-03-11 08:00:00,102.51,103.19,102.07,102.07
2022-03-11 09:00:00,102.04,102.64,101.77,102.07
