datetime,ETHUSDT_open,ETHUSDT_high,ETHUSDT_low,ETHUSDT_close
2022-03-06 06:00:00,2648.86,2659.78,2643.59,2647.93
2022-03-06 07:00:00,2646.77,2650.42,2637.32,2644.7
2022-03-06 08:00:00,2644.32,2649.0,2634.26,2635.53
2022-03-06 09:00:00,2634.48,2638.87,2608.37,2608.37
2022-03-06 10:00:00,2609.86,2611.73,2590.05,2598.69
2022-03-06 11:00:00,2597.49,2607.91,2589.68,2607.91
2022-03-06 12:00:00,2608.1,2621.57,2605.23,2618.61
2022-03-06 13:00:00,2618.57,2647.67,2618.57,2640.9
2022-03-06 14:00:00,2640.39,2641.7,2621.96,2626.37
2022-03-06 15:00:00,2626.37,2630.13,2611.09,2622.0
2022-03-06 16:00:00,2623.45,2655.02,2619.98,2645.42
2022-03-06 17:00:00,2647.96,2648.44,2625.9,2630.16
2022-03-06 18:00:00,2630.12,2638.42,2617.63,2622.97
2022-03-06 19:00:00,2623.25,2628.82,2604.24,2607.02
2022-03-06 20:00:00,2609.74,2622.82,2604.32,2614.9
2022-03-06 21:00:00,2615.76,2643.4,2614.04,2629.63
2022-03-06 22:00:00,2630.9,2644.3,2626.95,2626.95
2022-03-06 23:00:00,2627.83,2632.42,2535.67,2549.13
2022-03-07 00:00:00,2548.49,2553.68,2513.04,2541.77
2022-03-07 01:00:00,2542.5,2557.83,2540.5,2544.57
2022-03-07 02:00:00,2545.28,2549.49,2508.13,2519.52
2022-03-07 03:00:00,2519.6,2529.04,2508.74,2524.25
2022-03-07 04:00:00,2525.58,2532.53,2519.43,2524.94
2022-03-07 05:00:00,2525.77,2541.95,2518.78,2529.34
2022-03-07 06:00:00,2530.09,2539.62,2527.98,2538.82
2022-03-07 07:00:00,2538.3,2541.21,2515.64,2519.56
2022-03-07 08:00:00,2522.48,2536.13,2492.17,2535.01
2022-03-07 09:00:00,2536.93,2547.84,2528.31,2532.59
2022-03-07 10:00:00,2531.7,2533.43,2518.19,2519.9
2022-03-07 11:00:00,2519.92,2543.74,2519.05,2539.65
2022-03-07 12:00:00,2539.11,2573.4,2539.11,2560.58
2022-03-07 13:00:00,2561.43,2628.25,2556.43,2619.68
2022-03-07 14:00:00,2622.15,2648.34,2609.74,2609.74
2022-03-07 15:00:00,2609.8,2621.27,2593.63,2617.3
2022-03-07 16:00:00,2616.54,2639.5,2586.18,2586.18
2022-03-07 17:00:00,2586.19,2594.11,2567.69,2571.14
2022-03-07 18:00:00,2569.0,2569.0,2513.16,2522.48
2022-03-07 19:00:00,2522.1,2527.83,2448.38,2459.96
2022-03-07 20:00:00,2460.05,2485.22,2445.81,2466.88
2022-03-07 21:00:00,2467.99,2504.58,2461.2,2482.74
2022-03-07 22:00:00,2480.16,2527.87,2480.0,2503.04
2022-03-07 23:00:00,2501.71,2525.82,2486.0,2492.4
2022-03-08 00:00:00,2491.53,2528.57,2480.31,2520.26
2022-03-08 01:00:00,2518.95,2548.72,2507.23,2523.84
2022-03-08 02:00:00,2524.4,2572.38,2514.25,2548.48
2022-03-08 03:00:00,2548.48,2552.81,2534.26,2551.23
2022-03-08 04:00:00,2547.41,2564.22,2537.61,2539.98
2022-03-08 05:00:00,2539.89,2545.62,2514.23,2525.04
2022-03-08 06:00:00,2524.38,2535.3,2495.82,2517.39
2022-03-08 07:00:00,2516.39,2545.98,2511.76,2535.61
2022-03-08 08:00:00,2536.25,2588.5,2530.13,2572.16
2022-03-08 09:00:00,2571.2,2593.3,2564.34,2585.33
2022-03-08 10:00:00,2584.74,2609.25,2568.01,2595.62
2022-03-08 11:00:00,2596.55,2597.7,2570.78,2587.68
2022-03-08 12:00:00,2588.77,2600.0,2566.06,2575.47
2022-03-08 13:00:00,2575.35,2595.67,2556.62,2588.35
2022-03-08 14:00:00,2587.86,2608.18,2561.29,2571.47
2022-03-08 15:00:00,2571.9,2580.11,2531.24,2559.38
2022-03-08 16:00:00,2559.8,2588.88,2524.76,2541.28
2022-03-08 17:00:00,2541.31,2606.51,2541.31,2598.62
2022-03-08 18:00:00,2598.98,2624.22,2569.02,2569.51
2022-03-08 19:00:00,2570.29,2582.48,2554.89,2580.04
2022-03-08 20:00:00,2580.17,2590.18,2549.12,2552.56
2022-03-08 21:00:00,2552.12,2563.84,2548.51,2556.85
2022-03-08 22:00:00,2558.07,2573.88,2558.07,2568.6
2022-03-08 23:00:00,2569.52,2586.57,2569.52,2575.37
2022-03-09 00:00:00,2574.92,2593.15,2568.33,2593.15
2022-03-09 01:00:00,2593.16,2625.04,2586.93,2620.56
2022-03-09 02:00:00,2620.5,2635.0,2606.8,2622.72
2022-03-09 03:00:00,2624.32,2717.91,2618.03,2702.46
2022-03-09 04:00:00,2702.6,2730.08,2698.96,2721.78
2022-03-09 05:00:00,2717.75,2722.74,2705.42,2715.97
2022-03-09 06:00:00,2715.65,2726.75,2705.76,2719.86
2022-03-09 07:00:00,2719.54,2747.52,2716.62,2745.32
2022-03-09 08:00:00,2745.59,2773.92,2724.38,2755.63
2022-03-09 09:00:00,2757.07,2767.23,2752.68,2754.27
2022-03-09 10:00:00,2753.31,2759.47,2743.45,2757.23
2022-03-09 11:00:00,2757.51,2763.5,2740.53,2744.52
2022-03-09 12:00:00,2745.34,2768.18,2729.27,2743.27
2022-03-09 13:00:00,2743.38,2744.19,2711.75,2728.08
2022-03-09 14:00:00,2726.1,2748.06,2725.65,2737.83
2022-03-09 15:00:00,2739.22,2764.79,2733.54,2757.61
2022-03-09 16:00:00,2757.18,2758.88,2740.45,2746.08
2022-03-09 17:00:00,2748.57,2750.93,2734.01,2743.56
2022-03-09 18:00:00,2743.91,2745.0,2701.48,2710.59
2022-03-09 19:00:00,2709.94,2720.51,2678.98,2714.46
2022-03-09 20:00:00,2716.47,2727.88,2679.57,2685.9
2022-03-09 21:00:00,2686.61,2711.64,2682.31,2705.32
2022-03-09 22:00:00,2706.17,2727.61,2705.17,2717.7
2022-03-09 23:00:00,2718.03,2736.06,2709.0,2727.02
2022-03-10 00:00:00,2728.08,2733.09,2705.37,2708.26
2022-03-10 01:00:00,2708.33,2724.75,2653.89,2664.01
2022-03-10 02:00:00,2663.7,2674.08,2655.48,2661.78
2022-03-10 03:00:00,2660.2,2672.95,2653.17,2659.05
2022-03-10 04:00:00,2657.2,2663.93,2585.09,2602.97
2022-03-10 05:00:00,2602.2,2605.55,2574.44,2589.95
2022-03-10 06:00:00,2591.27,2598.56,2572.25,2592.67
2022-03-10 07:00:00,2593.04,2600.19,2582.95,2592.24
2022-03-10 08:00:00,2592.11,2601.1,2575.08,2601.09
2022-03-10 09:00:00,2600.72,2609.71,2588.58,2599.87
2022-03-10 10:00:00,2598.02,2601.92,2586.9,2587.48
2022-03-10 11:00:00,2587.65,2596.97,2583.66,2591.68
2022-03-10 12:00:00,2591.44,2610.97,2584.1,2602.18
2022-03-10 13:00:00,2601.22,2647.24,2550.16,2574.55
2022-03-10 14:00:00,2571.48,2600.87,2560.0,2600.87
2022-03-10 15:00:00,2599.52,2622.84,2583.93,2597.34
2022-03-10 16:00:00,2596.35,2605.24,2583.16,2595.11
2022-03-10 17:00:00,2595.2,2603.85,2584.99,2592.29
2022-03-10 18:00:00,2591.32,2603.27,2585.49,2598.58
2022-03-10 19:00:00,2598.77,2616.48,2592.07,2613.69
2022-03-10 20:00:00,2612.99,2620.4,2601.39,2618.06
2022-03-10 21:00:00,2619.34,2620.53,2601.84,2603.13
2022-03-10 22:00:00,2604.31,2614.61,2594.5,2614.16
2022-03-10 23:00:00,2615.56,2618.42,2603.69,2603.69
2022-03-11 00:00:00,2604.26,2610.45,2585.91,2593.24
2022-03-11 01:00:00,2594.6,2594.61,2557.21,2562.53
2022-03-11 02:00:00,2563.15,2569.04,2523.79,2528.69
2022-03-11 03:00:00,2528.48,2554.47,2522.22,2551.02
2022-03-11 04:00:00,2549.68,2551.44,2534.39,2540.25
2022-03-11 05:00:00,2540.79,2565.67,2536.81,2563.87
2022-03-11 06:00:00,2562.91,2592.13,2561.04,2583.8
2022-03-11 07:00:00,2584.05,2618.2,2582.67,2608.47
2022-03-11 08:00:00,2608.79,2612.9,2591.06,2596.77
2022-03-11 09:00:00,2600.13,2608.84,2593.24,2601.54
2022-03-11 10:00:00,2602.07,2607.6,2597.83,2599.68
2022-03-11 11:00:00,2600.88,2669.46,2581.02,2653.06
2022-03-11 12:00:00,2651.84,2677.04,2643.37,2653.98
2022-03-11 13:00:00,2653.98,2655.13,2610.7,2618.08
2022-03-11 14:00:00,2618.65,2635.1,2602.66,2608.99
2022-03-11 15:00:00,2604.8,2604.8,2567.97,2581.14
2022-03-11 16:00:00,2580.22,2580.73,2551.16,2556.83
2022-03-11 17:00:00,2556.36,2568.1,2546.14,2564.92
2022-03-11 18:00:00,2563.36,2572.35,2554.51,2554.51
2022-03-11 19:00:00,2556.82,2567.68,2552.27,2555.54
2022-03-11 20:00:00,2556.61,2562.46,2526.82,2530.54
2022-03-11 21:00:00,2532.34,2586.74,2532.34,2572.08
2022-03-11 22:00:00,2574.35,2581.35,2567.42,2567.8
2022-03-11 23:00:00,2567.13,2570.12,2556.29,2557.23
2022-03-12 00:00:00,2555.71,2582.88,2553.38,2581.51
2022-03-12 01:00:00,2584.86,2595.21,2577.06,2589.8
2022-03-12 02:00:00,2590.66,2597.05,2577.41,2579.01
2022-03-12 03:00:00,2579.43,2595.66,2579.43,2582.25
2022-03-12 04:00:00,2581.76,2590.17,2568.77,2585.0
2022-03-12 05:00:00,2582.35,2593.67,2577.97,2591.6
2022-03-12 06:00:00,2591.75,2600.66,2583.78,2586.84
2022-03-12 07:00:00,2587.65,2591.96,2581.84,2589.65
2022-03-12 08:00:00,2587.79,2591.09,2572.94,2581.14
2022-03-12 09:00:00,2580.41,2592.58,2579.05,2592.38
2022-03-12 10:00:00,2592.0,2592.01,2580.92,2587.84
2022-03-12 11:00:00,2586.48,2587.45,2575.68,2579.62
2022-03-12 12:00:00,2582.45,2590.42,2574.21,2589.76
2022-03-12 13:00:00,2589.76,2596.46,2582.79,2583.75
2022-03-12 14:00:00,2578.86,2587.84,2562.42,2571.83
2022-03-12 15:00:00,2571.87,2591.52,2568.67,2585.01
2022-03-12 16:00:00,2585.58,2597.05,2581.73,2594.21
2022-03-12 17:00:00,2595.21,2615.76,2588.06,2589.55
