datetime,ADAUSD_open,ADAUSD_high,ADAUSD_low,ADAUSD_close
2022-02-08 06:00:00,1.2451,1.2639,1.2138,1.2317
2022-02-08 07:00:00,1.2317,1.2398,1.218,1.2325
2022-02-08 08:00:00,1.2327,1.2377,1.1873,1.1889
2022-02-08 09:00:00,1.1885,1.1986,1.1679,1.1883
2022-02-08 10:00:00,1.1879,1.1916,1.1773,1.1877
2022-02-08 11:00:00,1.1879,1.2036,1.1817,1.2
2022-02-08 12:00:00,1.2,1.2,1.1665,1.1773
2022-02-08 13:00:00,1.1771,1.184,1.1684,1.1835
2022-02-08 14:00:00,1.1837,1.1882,1.1761,1.1766
2022-02-08 15:00:00,1.1763,1.177,1.1522,1.1675
2022-02-08 16:00:00,1.1677,1.1733,1.1484,1.1523
2022-02-08 17:00:00,1.1524,1.1578,1.1336,1.1473
2022-02-08 18:00:00,1.1472,1.1537,1.1406,1.1469
2022-02-08 19:00:00,1.147,1.1493,1.1336,1.1427
2022-02-08 20:00:00,1.1425,1.172,1.14,1.1698
2022-02-08 21:00:00,1.1698,1.1717,1.1583,1.1685
2022-02-08 22:00:00,1.1686,1.1766,1.1608,1.1753
2022-02-08 23:00:00,1.1758,1.184,1.174,1.1764
2022-02-09 00:00:00,1.1764,1.1858,1.172,1.1816
2022-02-09 01:00:00,1.1818,1.1831,1.1687,1.1702
2022-02-09 02:00:00,1.1701,1.1742,1.1523,1.16
2022-02-09 03:00:00,1.16,1.1643,1.1526,1.1546
2022-02-09 04:00:00,1.1545,1.1807,1.1542,1.1701
2022-02-09 05:00:00,1.17,1.1837,1.1598,1.1758
2022-02-09 06:00:00,1.1754,1.1909,1.174,1.1831
2022-02-09 07:00:00,1.183,1.191,1.1777,1.1874
2022-02-09 08:00:00,1.1877,1.1908,1.1723,1.1799
2022-02-09 09:00:00,1.18,1.187,1.1782,1.1808
2022-02-09 10:00:00,1.1805,1.1917,1.1784,1.1877
2022-02-09 11:00:00,1.1877,1.1973,1.1821,1.1949
2022-02-09 12:00:00,1.1946,1.2158,1.1912,1.2075
2022-02-09 13:00:00,1.2077,1.216,1.2025,1.2046
2022-02-09 14:00:00,1.2049,1.2069,1.1976,1.1986
2022-02-09 15:00:00,1.1988,1.2049,1.1923,1.1959
2022-02-09 16:00:00,1.1958,1.2059,1.1875,1.2042
2022-02-09 17:00:00,1.2044,1.2137,1.1996,1.2024
