datetime,ETHBUSD_open,ETHBUSD_high,ETHBUSD_low,ETHBUSD_close
2022-01-20 13:00:00,3233.52,3235.87,3208.29,3208.51
2022-01-20 14:00:00,3208.78,3246.91,3204.81,3216.06
2022-01-20 15:00:00,3216.05,3219.69,3184.69,3196.05
2022-01-20 16:00:00,3196.16,3198.77,3081.81,3081.96
2022-01-20 17:00:00,3081.97,3108.48,3025.43,3061.38
2022-01-20 18:00:00,3061.39,3062.0,2988.41,3002.03
2022-01-20 19:00:00,3002.03,3033.49,2972.74,3017.09
2022-01-20 20:00:00,3017.15,3020.34,2895.31,2900.98
2022-01-20 21:00:00,2901.0,2955.52,2879.79,2908.48
2022-01-20 22:00:00,2908.48,2918.8,2810.0,2837.53
2022-01-20 23:00:00,2837.63,2881.51,2836.24,2863.09
2022-01-21 00:00:00,2863.09,2877.57,2850.3,2859.68
2022-01-21 01:00:00,2859.68,2867.12,2833.67,2846.08
2022-01-21 02:00:00,2846.08,2895.68,2835.45,2883.45
2022-01-21 03:00:00,2883.45,2899.99,2878.48,2892.75
2022-01-21 04:00:00,2892.75,2894.26,2869.01,2869.85
2022-01-21 05:00:00,2869.71,2887.6,2862.96,2873.54
2022-01-21 06:00:00,2873.53,2877.71,2835.0,2847.93
2022-01-21 07:00:00,2847.94,2854.91,2732.48,2777.39
2022-01-21 08:00:00,2778.06,2815.23,2759.3,2797.66
2022-01-21 09:00:00,2797.65,2834.79,2765.48,2783.99
2022-01-21 10:00:00,2783.97,2853.43,2766.41,2830.65
2022-01-21 11:00:00,2830.65,2861.16,2791.4,2809.86
2022-01-21 12:00:00,2810.15,2815.36,2766.7,2780.78
2022-01-21 13:00:00,2780.77,2807.0,2755.32,2766.57
2022-01-21 14:00:00,2766.51,2790.66,2738.62,2742.13
2022-01-21 15:00:00,2742.32,2764.44,2700.03,2745.05
2022-01-21 16:00:00,2745.04,2757.46,2559.0,2607.69
2022-01-21 17:00:00,2607.69,2647.95,2500.0,2544.97
2022-01-21 18:00:00,2545.51,2598.94,2460.0,2568.12
2022-01-21 19:00:00,2568.39,2626.42,2550.0,2592.42
2022-01-21 20:00:00,2592.34,2618.04,2581.58,2608.58
2022-01-21 21:00:00,2608.58,2610.97,2582.6,2594.8
2022-01-21 22:00:00,2594.39,2618.46,2541.93,2568.43
2022-01-21 23:00:00,2568.1,2578.28,2548.54,2556.17
2022-01-22 00:00:00,2555.58,2565.03,2485.0,2496.65
2022-01-22 01:00:00,2496.14,2533.27,2462.46,2507.36
2022-01-22 02:00:00,2507.34,2527.98,2425.95,2465.2
2022-01-22 03:00:00,2464.52,2505.13,2463.93,2469.64
2022-01-22 04:00:00,2469.64,2486.81,2370.95,2389.83
2022-01-22 05:00:00,2389.2,2468.0,2300.0,2450.05
2022-01-22 06:00:00,2450.42,2479.45,2386.0,2431.15
2022-01-22 07:00:00,2432.01,2498.98,2423.12,2491.2
2022-01-22 08:00:00,2491.19,2518.61,2458.95,2467.6
2022-01-22 09:00:00,2467.75,2473.99,2417.0,2419.49
2022-01-22 10:00:00,2420.09,2431.59,2382.0,2387.01
2022-01-22 11:00:00,2387.68,2465.18,2362.32,2440.12
2022-01-22 12:00:00,2439.4,2451.24,2370.0,2380.29
2022-01-22 13:00:00,2380.42,2397.93,2322.12,2330.4
2022-01-22 14:00:00,2330.78,2374.92,2320.0,2337.76
2022-01-22 15:00:00,2337.76,2457.23,2319.9,2430.42
2022-01-22 16:00:00,2430.05,2471.92,2410.03,2446.49
2022-01-22 17:00:00,2446.9,2446.9,2365.2,2379.35
2022-01-22 18:00:00,2378.99,2413.68,2370.38,2411.5
2022-01-22 19:00:00,2412.39,2449.91,2398.32,2448.55
2022-01-22 20:00:00,2447.89,2463.14,2433.73,2445.03
2022-01-22 21:00:00,2445.04,2448.83,2389.14,2395.15
2022-01-22 22:00:00,2395.15,2420.54,2386.35,2417.24
2022-01-22 23:00:00,2417.0,2445.0,2407.64,2433.0
2022-01-23 00:00:00,2433.0,2484.56,2411.65,2467.98
2022-01-23 01:00:00,2467.98,2480.05,2451.0,2463.15
2022-01-23 02:00:00,2463.15,2501.94,2458.67,2488.16
2022-01-23 03:00:00,2488.15,2520.44,2477.0,2520.2
2022-01-23 04:00:00,2520.5,2551.9,2509.43,2534.86
2022-01-23 05:00:00,2535.04,2538.81,2514.0,2534.58
2022-01-23 06:00:00,2534.68,2536.83,2492.14,2498.28
2022-01-23 07:00:00,2498.67,2505.42,2482.56,2495.54
