datetime,XRPTUSD_open,XRPTUSD_high,XRPTUSD_low,XRPTUSD_close
2022-05-11 02:00:00,0.501,0.5029,0.4907,0.4965
2022-05-11 03:00:00,0.498,0.5052,0.4944,0.4944
2022-05-11 04:00:00,0.5089,0.5149,0.5089,0.5149
2022-05-11 05:00:00,0.5149,0.5149,0.5097,0.51
2022-05-11 06:00:00,0.4917,0.4917,0.4901,0.4901
2022-05-11 07:00:00,0.493,0.4998,0.4035,0.4196
2022-05-11 08:00:00,0.4239,0.4838,0.4095,0.4696
2022-05-11 09:00:00,0.4721,0.4728,0.4599,0.4676
2022-05-11 10:00:00,0.4503,0.4549,0.4448,0.4478
2022-05-11 11:00:00,0.4441,0.4441,0.4238,0.4238
2022-05-11 12:00:00,0.4309,0.4309,0.4218,0.4276
2022-05-11 13:00:00,0.4263,0.4263,0.425,0.425
2022-05-11 14:00:00,0.425,0.425,0.4074,0.4094
2022-05-11 15:00:00,0.4124,0.4148,0.3661,0.3694
2022-05-11 16:00:00,0.383,0.4057,0.3765,0.4039
2022-05-11 17:00:00,0.415,0.4177,0.406,0.4088
2022-05-11 18:00:00,0.4031,0.4113,0.4031,0.4113
2022-05-11 19:00:00,0.4148,0.4249,0.4148,0.4249
2022-05-11 20:00:00,0.4132,0.4191,0.4131,0.4191
2022-05-11 21:00:00,0.4076,0.408,0.3939,0.3939
2022-05-11 22:00:00,0.3858,0.3904,0.3797,0.3797
2022-05-11 23:00:00,0.3772,0.3772,0.3539,0.3566
2022-05-12 00:00:00,0.35,0.3548,0.3353,0.3523
2022-05-12 01:00:00,0.3527,0.3849,0.3527,0.3561
2022-05-12 02:00:00,0.3524,0.3815,0.3299,0.3706
2022-05-12 03:00:00,0.3691,0.3826,0.3579,0.3617
2022-05-12 04:00:00,0.361,0.374,0.361,0.3652
2022-05-12 05:00:00,0.3703,0.3763,0.3703,0.3748
2022-05-12 06:00:00,0.3724,0.3974,0.3707,0.3713
2022-05-12 07:00:00,0.3692,0.3762,0.3651,0.3736
2022-05-12 08:00:00,0.3764,0.3764,0.3634,0.3673
2022-05-12 09:00:00,0.3651,0.3826,0.3651,0.3826
2022-05-12 10:00:00,0.3851,0.3929,0.3851,0.3929
2022-05-12 11:00:00,0.3871,0.4004,0.3871,0.3959
2022-05-12 12:00:00,0.3902,0.3917,0.3889,0.3889
2022-05-12 13:00:00,0.3818,0.3818,0.3772,0.3772
2022-05-12 14:00:00,0.3772,0.3887,0.3772,0.3887
2022-05-12 15:00:00,0.3884,0.3884,0.3851,0.3851
2022-05-12 16:00:00,0.3767,0.3768,0.3716,0.3716
2022-05-12 17:00:00,0.3734,0.3734,0.3734,0.3734
2022-05-12 18:00:00,0.3847,0.3847,0.3826,0.3826
2022-05-12 19:00:00,0.3825,0.3873,0.3825,0.3872
2022-05-12 20:00:00,0.3941,0.4024,0.3941,0.4017
2022-05-12 21:00:00,0.4017,0.4193,0.4017,0.4193
2022-05-12 22:00:00,0.42,0.4322,0.42,0.4311
2022-05-12 23:00:00,0.4384,0.4409,0.4384,0.4384
2022-05-13 00:00:00,0.4412,0.4585,0.4412,0.4585
2022-05-13 01:00:00,0.4522,0.4522,0.4418,0.4423
2022-05-13 02:00:00,0.44,0.4423,0.4344,0.4344
2022-05-13 03:00:00,0.4359,0.4359,0.4359,0.4359
2022-05-13 04:00:00,0.4359,0.4359,0.4359,0.4359
2022-05-13 05:00:00,0.4377,0.4377,0.4237,0.4237
2022-05-13 06:00:00,0.4457,0.4538,0.4457,0.4538
2022-05-13 07:00:00,0.4501,0.4501,0.4501,0.4501
2022-05-13 08:00:00,0.4428,0.4446,0.4423,0.4437
2022-05-13 09:00:00,0.4517,0.4517,0.4443,0.45
2022-05-13 10:00:00,0.4372,0.4372,0.4372,0.4372
2022-05-13 11:00:00,0.4343,0.4343,0.4269,0.4269
2022-05-13 12:00:00,0.4294,0.4303,0.4217,0.4217
2022-05-13 13:00:00,0.4176,0.4249,0.4176,0.4249
2022-05-13 14:00:00,0.4232,0.4232,0.4232,0.4232
2022-05-13 15:00:00,0.4282,0.4282,0.4282,0.4282
2022-05-13 16:00:00,0.4252,0.4378,0.4252,0.4378
2022-05-13 17:00:00,0.4378,0.4378,0.4378,0.4378
