datetime,BIFIBUSD_open,BIFIBUSD_high,BIFIBUSD_low,BIFIBUSD_close
2022-01-12 21:00:00,1244.6,1249.3,1241.2,1249.3
2022-01-12 22:00:00,1249.3,1250.5,1243.1,1248.1
2022-01-12 23:00:00,1245.2,1253.5,1243.5,1253.5
2022-01-13 00:00:00,1250.9,1256.9,1250.9,1253.3
2022-01-13 01:00:00,1253.3,1261.5,1251.4,1258.5
2022-01-13 02:00:00,1258.1,1267.8,1254.5,1267.8
2022-01-13 03:00:00,1268.2,1272.5,1263.2,1272.5
2022-01-13 04:00:00,1272.4,1285.7,1272.4,1283.5
2022-01-13 05:00:00,1284.9,1293.5,1267.6,1267.6
2022-01-13 06:00:00,1267.7,1287.7,1264.8,1283.6
2022-01-13 07:00:00,1286.1,1294.5,1283.5,1294.5
2022-01-13 08:00:00,1295.0,1323.0,1277.5,1310.5
2022-01-13 09:00:00,1312.5,1320.0,1300.5,1313.7
2022-01-13 10:00:00,1313.8,1317.5,1257.1,1261.5
2022-01-13 11:00:00,1262.5,1282.5,1258.3,1279.1
2022-01-13 12:00:00,1280.0,1280.8,1261.3,1263.2
2022-01-13 13:00:00,1265.3,1267.5,1257.7,1262.5
2022-01-13 14:00:00,1263.5,1266.5,1251.3,1260.0
2022-01-13 15:00:00,1262.4,1262.4,1253.5,1259.0
2022-01-13 16:00:00,1259.0,1273.7,1259.0,1273.7
2022-01-13 17:00:00,1273.7,1274.2,1269.3,1269.3
2022-01-13 18:00:00,1269.3,1307.5,1267.6,1305.9
2022-01-13 19:00:00,1307.5,1323.5,1298.5,1321.6
2022-01-13 20:00:00,1321.5,1321.5,1302.5,1302.5
2022-01-13 21:00:00,1305.3,1379.6,1305.2,1341.0
2022-01-13 22:00:00,1338.9,1338.9,1313.5,1314.7
2022-01-13 23:00:00,1316.4,1341.5,1314.3,1326.4
2022-01-14 00:00:00,1323.7,1354.4,1315.0,1354.4
2022-01-14 01:00:00,1354.6,1365.0,1336.6,1358.8
2022-01-14 02:00:00,1357.0,1371.0,1355.5,1365.0
2022-01-14 03:00:00,1365.0,1365.0,1347.0,1353.5
2022-01-14 04:00:00,1355.1,1364.2,1341.8,1349.4
2022-01-14 05:00:00,1352.0,1354.5,1340.0,1340.0
2022-01-14 06:00:00,1340.0,1340.0,1326.6,1327.0
2022-01-14 07:00:00,1329.5,1335.6,1322.6,1329.5
2022-01-14 08:00:00,1329.9,1340.5,1328.5,1330.5
2022-01-14 09:00:00,1332.6,1359.3,1331.7,1346.4
2022-01-14 10:00:00,1347.9,1361.3,1342.2,1349.0
2022-01-14 11:00:00,1349.0,1425.0,1349.0,1387.7
2022-01-14 12:00:00,1388.1,1430.0,1387.7,1398.8
2022-01-14 13:00:00,1398.8,1398.8,1385.5,1392.4
2022-01-14 14:00:00,1392.4,1450.0,1387.7,1401.5
2022-01-14 15:00:00,1404.5,1448.1,1400.5,1415.0
2022-01-14 16:00:00,1414.5,1450.0,1406.5,1433.3
2022-01-14 17:00:00,1434.6,1446.3,1418.7,1432.0
2022-01-14 18:00:00,1436.1,1445.0,1413.1,1413.1
2022-01-14 19:00:00,1418.7,1419.8,1408.0,1413.5
2022-01-14 20:00:00,1411.5,1426.6,1411.2,1426.6
2022-01-14 21:00:00,1425.9,1427.3,1416.8,1416.8
2022-01-14 22:00:00,1416.8,1450.0,1415.8,1445.4
2022-01-14 23:00:00,1445.4,1449.7,1439.3,1439.3
2022-01-15 00:00:00,1441.7,1449.0,1441.7,1449.0
2022-01-15 01:00:00,1449.0,1483.5,1431.0,1466.8
2022-01-15 02:00:00,1467.0,1467.0,1457.6,1463.4
2022-01-15 03:00:00,1466.3,1482.2,1439.4,1455.5
2022-01-15 04:00:00,1454.5,1458.7,1451.0,1452.8
2022-01-15 05:00:00,1455.7,1485.0,1454.8,1471.7
2022-01-15 06:00:00,1470.0,1485.0,1464.0,1465.5
2022-01-15 07:00:00,1467.5,1467.5,1411.3,1423.7
2022-01-15 08:00:00,1423.7,1431.3,1422.4,1431.3
